Position,Rating,Review Title,Role,Pros,Cons
665,4,good culture,Cyber security analyst,"the colleagues are friendly, and very engaging workplace","management can seem a little bit absent,"
666,5,Good place to grow,Qa software tester,- Excellent work life balance - good place to grow in it - Access to a lot of titles - Wonderful environment,The occasional bad decisions form higher management
667,3,Good,Artist,I feel like ubi is one of the most employee centric employers considering the other companies,They are trying to innovate but has a hard time doing it
668,3,Great for those looking to get into the industry,Anonymous employee,My first video game job was at Ubisoft. I was hired for a contract before getting a full-time position. I would recommend Ubi for anyone looking to get into the industry regardless of work experience,"Over my many years at Ubi, there was very little effort made by management to develop my career. Promotions were given for reasons besides competence or professionalism and this was reflected in the quality of leadership. It's a great place tos tart but not a great place to stay."
669,5,Amazing company,Anonymous employee,"The people is super talented and there is a real team spirit, also, they’re so professional",Sometimes is necessary be more organized when you have more products
670,5,Excellent experience,Anonymous employee,Global company with great people,Distributed model can often be confusing to navigate
671,3,Work at Ubisoft,Quality assurance tester,"Young team, good managers, relaxing working environment, lots of breaks.","Low salary, no real promotion prospects, long hours, removed possibility of overtime"
672,4,Great Place to Start your Gaming Career,Score level designer,"Great work culture, Friendly team members, Team Party, high Bonus, Cool Perks, Great Work life balance. In Terms of working, Work life balance, infostructure, Fun and friendly Colleagues I will give 4/5, 1 point is cut because of No flexibility of working from Hometown and Less compensation.","Compensation is little less, according to the market, out of 5 in compensation i will give 3.5/5, It was poor before, but now they increased it, it can still be improve. No permanent Work from Home town flexibility are given till now, just only 20 days you can do Work from Home town any where in India."
673,3,-,Community developer,A lot of opportunities within the company.,Unstable business and economy effecting compensation
674,1,Very poor work ambiance,Anonymous employee,"Free fruits, free coffee, good perks while on the job",Management does not care about you. Severe workplace harassment
